code,grades,question_number,prompt,image_url,correct_answer,alternative_answers,tolerance
Q26-MATH-G6-09,6,09,"Agar p=7 bo‘lsa, quyidagi ifodaning qiymatini toping",/question-assets/admission-2026/math/g6/q09.png,43,,0
Q26-MATH-G6-10,6,10,Quyidagi tenglamani yeching: .,/question-assets/admission-2026/math/g6/q10.png,,,0
Q26-MATH-G6-11,6,11,Quyidagi yig’indini hisoblang: 200 - 199 + 198 - 197 + … +2 – 1,/question-assets/admission-2026/math/g6/q11.png,100,,0
Q26-MATH-G6-12,6,12,"To’gri burchakli parallelepiped shaklidagi omborxonaning bo’yi 32m,eni 27m va hajmi 25 056 . Uning balandligini toping .",/question-assets/admission-2026/math/g6/q12.png,29,,0
Q26-MATH-G6-13,6,13,Quyidagi rasm qaysi ko’rinishdan berilgan?,/question-assets/admission-2026/math/g6/q13.png,,,0
Q26-MATH-G6-14,6,14,Litrda ifodalang. 5,/question-assets/admission-2026/math/g6/q14.png,,,0
Q26-MATH-G6-15,6,15,Tenglamani yeching: 47 (3243,/question-assets/admission-2026/math/g6/q15.png,,,0
Q26-MATH-G6-16,6,16,A=1000 B= A+B=?,/question-assets/admission-2026/math/g6/q16.png,,,0
Q26-MATH-G6-17,6,17,"27 ta bola 11 tadan qilib futbol jamoaga bo’linsa, necha nafar bola jamoasiz qoladi?",/question-assets/admission-2026/math/g6/q17.png,5,,0
Q26-MATH-G6-18,6,18,Quyidagi ifodani soddalashtiring: 3 (o’rta),/question-assets/admission-2026/math/g6/q18.png,,,0
Q26-MATH-G6-19,6,19,"Anvar bir son o’yladi, uning yarmidan 1 ni ayirdi, hosil bo’lgan sonning yarmidan 2 ni ayirdi, keyin hosil bo’lgan sonning yarmidan 3 ni ayirganda 100 soni hosil bo’ldi",/question-assets/admission-2026/math/g6/q19.png,834,,0
Q26-MATH-G6-20,6,20,"Agar kubning qirrasi 27 sm bo’lsa, uning hajmini toping?",/question-assets/admission-2026/math/g6/q20.png,19683,,0
Q26-MATH-G6-21,6,21,Qanday sonning qismi 49 ga teng?,/question-assets/admission-2026/math/g6/q21.png,,,0
Q26-MATH-G6-22,6,22,?m + km = 975m,/question-assets/admission-2026/math/g6/q22.png,,,0
Q26-MATH-G6-23,6,23,"To’g’ri to’rtburchakning perimetri 144 sm, uning perimetriga teng bo’lgan kvadratning yuzini toping?",/question-assets/admission-2026/math/g6/q23.png,1296,,0
Q26-MATH-G6-24,6,24,Radiusi 3 ga teng bo’lgan doiraning yuzini toping?,/question-assets/admission-2026/math/g6/q24.png,9π,,0
Q26-MATH-G6-25,6,25,ni hisoblang?,/question-assets/admission-2026/math/g6/q25.png,,,0
Q26-MATH-G6-26,6,26,5/16 va 15/16 ichida nechta maxraji 64 ga teng bo’lgan kasr bor?,/question-assets/admission-2026/math/g6/q26.png,39,,0
Q26-MATH-G6-27,6,27,Jasur 500 000 soʻm turadigan bir juft jinsi shim sotib olmoqchi. Ayni vaqtda jinsi shim 12% chegirma bilan sotilmoqda. Jasur sotuvchiga qancha pul toʻlashi kerak?,/question-assets/admission-2026/math/g6/q27.png,440000,,0
Q26-MATH-G6-28,6,28,540 ning 6 foizining 20 foizi nechaga teng?,/question-assets/admission-2026/math/g6/q28.png,6.48,,0
Q26-MATH-G6-29,6,29,"2 ta sonning yig’indisi 3,14 ga teng, ulardan birinchisi 100 dan 98 ga kam, 2 chi sonni toping?",/question-assets/admission-2026/math/g6/q29.png,1.14,,0
Q26-MATH-G6-30,6,30,"Qirralarining uzunliklari mos ravishda 2, 4, 8 sm bo’lgan to’g’ri burchakli",/question-assets/admission-2026/math/g6/q30.png,,,0
Q26-MATH-G7-01,7,01,Hisoblang:,/question-assets/admission-2026/math/g7/q01.png,"150,000",150000||150 000,0
Q26-MATH-G7-02,7,02,Agar 𝐵 = 2𝑎 − 3𝑎𝑏 + 4𝑏2 𝐶 = − 4𝑎2 + 2𝑎𝑏 + 3𝑏2 bo`lsa B – C = ?,/question-assets/admission-2026/math/g7/q02.png,4a^2+2a-5ab+b^2,,0
Q26-MATH-G7-03,7,03,Tenglamani yeching:,/question-assets/admission-2026/math/g7/q03.png,x= -5,-5,0
Q26-MATH-G7-04,7,04,3 sutka 8 soat 15 minutni minutlarda ifodalang.,/question-assets/admission-2026/math/g7/q04.png,4815,,0
Q26-MATH-G7-05,7,05,Ushbu shakl 4 ta chorak aylanadan iborat. Ushbu shaklning yuzini toping.,/question-assets/admission-2026/math/g7/q05.png,98 cm^2,,0
Q26-MATH-G7-06,7,06,Ifodani soddalashtiring :,/question-assets/admission-2026/math/g7/q06.png,"7,5a^5b^5c^7","7.5a^5b^5c^7||7,5a⁵b⁵c⁷||7.5a⁵b⁵c⁷",0
Q26-MATH-G7-07,7,07,Hisoblang: 5 1 : 2 1 = 1 1 𝑥: 1 1 4 3 5 3,/question-assets/admission-2026/math/g7/q07.png,x = 2.5,5/2||2.5,0
Q26-MATH-G7-08,7,08,"Agar kasrning surati 50% ga, maxraji esa 20% ga oshsa, kasrning qiymati qanday o‘zgaradi?",/question-assets/admission-2026/math/g7/q08.png,25% ga oshadi,,0
Q26-MATH-G7-09,7,09,Quyidagi shaklni yuzini toping,/question-assets/admission-2026/math/g7/q09.png,26 cm^2,26,0
Q26-MATH-G7-10,7,10,"30 ning qismini , qismi 32 ga teng bo’lgan songa qo’shing.",/question-assets/admission-2026/math/g7/q10.png,128,,0
Q26-MATH-G7-11,7,11,"To’g’ri to’rtburchakning bo’yi 50 sm, eni 40 sm. Uning bo’yi 10% ga, eni esa 15% ga uzaytirildi. Hosil bo’lgan yangi to’g’ri to’rtburchakning perimetrini toping.",/question-assets/admission-2026/math/g7/q11.png,202,,0
Q26-MATH-G7-12,7,12,Hisoblang:,/question-assets/admission-2026/math/g7/q12.png,18,,0
Q26-MATH-G7-13,7,13,Ifodani qiymati qanday raqam bilan tugaydi: 552024 + 662025 – 772026,/question-assets/admission-2026/math/g7/q13.png,2,,0
Q26-MATH-G7-14,7,14,Soddalashtiring:,/question-assets/admission-2026/math/g7/q14.png,,,0
Q26-MATH-G7-15,7,15,Hisoblang:,/question-assets/admission-2026/math/g7/q15.png,,,0
Q26-MATH-G7-16,7,16,"O’ylangan sondan 2 marta 2 1 ni, 3 marta 1 ni, 2 marta 2 ni ayirgandan 4 8 3 so’ng 3 11 qoldi. O’ylangan sonni toping. 24",/question-assets/admission-2026/math/g7/q16.png,,,0
Q26-MATH-G7-17,7,17,O’lchamlari 24 m va 15 m bo’lgan zalni tomoni 20 sm bo’lgan kvadrat shaklidagi plitalardan nechtasi bilan qoplash mumkin?,/question-assets/admission-2026/math/g7/q17.png,9000,,0
Q26-MATH-G7-18,7,18,Hisoblang:,/question-assets/admission-2026/math/g7/q18.png,,,0
Q26-MATH-G7-19,7,19,"Agar f(x) = 𝑥2-11x+44 bo‘lsa, f(2) ni toping",/question-assets/admission-2026/math/g7/q19.png,26,,0
Q26-MATH-G7-20,7,20,Tenglamani yeching:,/question-assets/admission-2026/math/g7/q20.png,,,0
Q26-MATH-G7-21,7,21,Tenglamaning yechimlari ko‘paytmasini toping:,/question-assets/admission-2026/math/g7/q21.png,,,0
Q26-MATH-G7-22,7,22,Hisoblang:,/question-assets/admission-2026/math/g7/q22.png,,,0
Q26-MATH-G7-23,7,23,"Rasmdagi kvadrat va teng tomonli uchburchak peremetrlari teng bo’lsa, kvadrat yuzi necha 𝑠𝑚2 ga teng?",/question-assets/admission-2026/math/g7/q23.png,,,0
Q26-MATH-G7-24,7,24,Tenglamani yeching:,/question-assets/admission-2026/math/g7/q24.png,,,0
Q26-MATH-G7-25,7,25,𝑥 𝑔𝑎 𝑡𝑒𝑠𝑘𝑎𝑟𝑖 𝑠𝑜𝑛 𝒙 𝑛𝑖𝑛𝑔 36% 𝑖𝑔𝑎 𝑡𝑒𝑛𝑔 bo’lsa ; 𝑥 ni toping.,/question-assets/admission-2026/math/g7/q25.png,±5/3,,0
Q26-MATH-G7-26,7,26,1 dan 100 gacha bo’lgan sonlar ichida 2 ga ham 3 ga ham bo’linmaydiganlari nechta?,/question-assets/admission-2026/math/g7/q26.png,33,,0
Q26-MATH-G7-27,7,27,Hisoblang: 1-3+5-7+...+97-99,/question-assets/admission-2026/math/g7/q27.png,-50,,0
Q26-MATH-G7-28,7,28,Ko’phadni ko’phadga bo’ling : x3-3x2+9x-27 ni (x-3),/question-assets/admission-2026/math/g7/q28.png,x^2+9,,0
Q26-MATH-G7-29,7,29,Ikki shahar orasidagi masofa 156 km . Bu masofa 1:600000 masshtabli xaritada necha santimetrga teng bo'ladi?,/question-assets/admission-2026/math/g7/q29.png,26,,0
Q26-MATH-G7-30,7,30,Yon tomondagi rasmda bir nechta stakanlarni ustma-ust qo’yib 2 ta stek tayyorlangan. 1-stekning balandligi 42 sm 2- stekning balandligi esa 18 sm ga teng. Uchta xuddi shunday stakanni ustma ust qo’yib yasalgan stekning balandligini toping.,/question-assets/admission-2026/math/g7/q30.png,,,0
Q26-MATH-G8-9-01,8-9,01,"4x + 9 = 33 bo’lsa, x ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q01.png,6,,0
Q26-MATH-G8-9-02,8-9,02,Bir sonning 15% i 30 ga teng. Bu son nechaga teng?,/question-assets/admission-2026/math/g8-9/q02.png,200,,0
Q26-MATH-G8-9-03,8-9,03,To’g’ri to’rtburchakning uzunligi 12 va eni 5 ga teng. Uning perimetri nechaga teng?,/question-assets/admission-2026/math/g8-9/q03.png,34,,0
Q26-MATH-G8-9-04,8-9,04,g funksiyasi g(x) = 3x−5 ko’rinishida berilgan. g(−2) ning qiymati nechaga teng?,/question-assets/admission-2026/math/g8-9/q04.png,-11,,0
Q26-MATH-G8-9-05,8-9,05,Quyida tenglamalar sistemasi berilgan. y ning qiymati nechaga teng?,/question-assets/admission-2026/math/g8-9/q05.png,,,0
Q26-MATH-G8-9-06,8-9,06,"Quyidagi ifoda + bx + 21 (x+3)(x+c) ko’rinishida ko’paytuvchilarga ajratiladi, bunda b va c – o’zgarmaslar. b ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q06.png,10,,0
Q26-MATH-G8-9-07,8-9,07,Retsept bo’yicha 24 ta pechenye tayyorlash uchun 3 stakan un kerak. Shu me’yorda 40 ta pechenye tayyorlash uchun nechta stakan un kerak bo’ladi?,/question-assets/admission-2026/math/g8-9/q07.png,5,,0
Q26-MATH-G8-9-08,8-9,08,Doiraning yuzi 36π ga teng. Doiraning diametri nechaga teng?,/question-assets/admission-2026/math/g8-9/q08.png,12,,0
Q26-MATH-G8-9-09,8-9,09,"{7, 9, 11, x, 17, 20} to’plamining medianasi 13 ga teng, bunda 11 < x < 17. x ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q09.png,15,,0
Q26-MATH-G8-9-10,8-9,10,"Agar = 81 bo’lsa, x ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q10.png,,,0
Q26-MATH-G8-9-11,8-9,11,"Ma’lumki, a= , b= va c= . a, b va c ni qiymati bo’yicha kichikdan kattaga qarab joylashtiring.",/question-assets/admission-2026/math/g8-9/q11.png,,,0
Q26-MATH-G8-9-12,8-9,12,"{3, 5, 5, 7, 9, 5, 10} to’plamining modasi (eng ko’p uchraydigan qiymati) nechaga teng?",/question-assets/admission-2026/math/g8-9/q12.png,5,,0
Q26-MATH-G8-9-13,8-9,13,Kubning qirrasi 4 ga teng. Kubning hajmi nechaga teng?,/question-assets/admission-2026/math/g8-9/q13.png,64,,0
Q26-MATH-G8-9-14,8-9,14,xy-tekislikda y = −3x+6 grafigi y o’qini quyidagi nuqtalarning qaysi birida kesib o’tadi?,/question-assets/admission-2026/math/g8-9/q14.png,(0;6),,0
Q26-MATH-G8-9-15,8-9,15,"xy-tekislikda ax +3y = 12 tenglamasining grafigi (3, 2) nuqtadan o’tadi, bunda a – o’zgarmas son. a ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q15.png,2,,0
Q26-MATH-G8-9-16,8-9,16,a va b o’zgarmaslar uchun (x + a)(x + b) = + 7x +12 tengligi x ning barcha qiymatlarida o’rinli. ab ning qiymati nechaga teng?,/question-assets/admission-2026/math/g8-9/q16.png,12,,0
Q26-MATH-G8-9-17,8-9,17,"Bir kunda novvoyxonada 240 ta mahsulot sotilgan. Agar sotilgan mahsulotlarning 30% i tortlar bo’lsa, o’sha kuni nechta tort sotilgan?",/question-assets/admission-2026/math/g8-9/q17.png,72,,0
Q26-MATH-G8-9-18,8-9,18,Avtomobil 240 milya masofani soatiga 60 milya doimiy tezlik bilan bosib o’tadi. Bu sayohat necha soat davom etadi?,/question-assets/admission-2026/math/g8-9/q18.png,4,,0
Q26-MATH-G8-9-19,8-9,19,"x, 2x, 3x va 4x sonlarining arifmetik o’rtachasi 25 ga teng. x ning qiymati nechaga teng?",/question-assets/admission-2026/math/g8-9/q19.png,10,,0
Q26-MATH-G8-9-20,8-9,20,"Agar = 125 bo’lsa, ?",/question-assets/admission-2026/math/g8-9/q20.png,,,0
Q26-MATH-G8-9-21,8-9,21,"Funksiya f(x) = - 13 , bunda a . f(14a) va f(5a) ning ko’paytmasi nechaga teng?",/question-assets/admission-2026/math/g8-9/q21.png,,,0
Q26-MATH-G8-9-22,8-9,22,"Shakl yarim doiradan, to’g’ri to’rtburchakdan va uchburchakdan iborat. Uning y Rasmda ABCD parallelogramm berilgan. x ni toping =? uzini toping (bunda",/question-assets/admission-2026/math/g8-9/q22.png,,,0
Q26-MATH-G8-9-23,8-9,23,"Yong’inga qarshi mashqda o’g’il bolalar sonining qiz bolalar soniga nisbati 3:4 ga teng. Agar 270 ta o’g’il bola bo’lsa, nechta qiz bola bor?",/question-assets/admission-2026/math/g8-9/q23.png,360,,0
Q26-MATH-G8-9-24,8-9,24,"Maftuna pulining qismini kitobga, qismini daftarga va qismini ruchkaga sarfladi. Agar unda 35 000 so’m qolgan bo’lsa, daftar necha so’m turadi?",/question-assets/admission-2026/math/g8-9/q24.png,,,0
Q26-MATH-G8-9-25,8-9,25,"Agar kasrning surati 50% ga va maxraji 20% ga oshsa, kasrning qiymati qanday o’zgaradi?",/question-assets/admission-2026/math/g8-9/q25.png,25% ga oshadi,,0
Q26-MATH-G8-9-26,8-9,26,"Ifodani soddalashtiring: (-2c)(-1a)2,5c",/question-assets/admission-2026/math/g8-9/q26.png,5ac^2,,0
Q26-MATH-G8-9-27,8-9,27,"Greg pulining qismini yozuv mashinkasiga sarfladi. Agar yozuv mashinkasi 120 dollar tursa, uning boshida qancha puli bo’lgan?",/question-assets/admission-2026/math/g8-9/q27.png,,,0
Q26-MATH-G8-9-28,8-9,28,Davriy kasrlarni hisoblang;,/question-assets/admission-2026/math/g8-9/q28.png,,,0
Q26-MATH-G8-9-29,8-9,29,Hisoblang; EKUB(200;360) + EKUK(48;45),/question-assets/admission-2026/math/g8-9/q29.png,760,,0
Q26-MATH-G8-9-30,8-9,30,Rasmda ABCD parallelogramm berilgan. x ni toping =?,/question-assets/admission-2026/math/g8-9/q30.png,,,0
Q26-MATH-G10-11-01,10-11,01,"𝑎, 𝑏,𝑐 − turli raqamlar bo’lsa, 90𝑎 − 10𝑏 + 𝑐 ning eng katta qiymatini toping.",/question-assets/admission-2026/math/g10-11/q01.png,818,,0
Q26-MATH-G10-11-02,10-11,02,Matematika savoli 2,/question-assets/admission-2026/math/g10-11/q02.png,1,,0
Q26-MATH-G10-11-03,10-11,03,125! soni 6 ning qanday eng katta darajasiga bo’linadi?,/question-assets/admission-2026/math/g10-11/q03.png,59,,0
Q26-MATH-G10-11-04,10-11,04,Hisoblang: 100 + 95 + 90 + ⋯ − 70,/question-assets/admission-2026/math/g10-11/q04.png,525,,0
Q26-MATH-G10-11-05,10-11,05,𝑥 2 − 2𝑥 + 9 < (𝑥 + 1)(𝑥 + 3) tengsizlikni yeching.,/question-assets/admission-2026/math/g10-11/q05.png,x>1,,0
Q26-MATH-G10-11-06,10-11,06,"10 kishidan 1 ta boshliq, 2 ta yordamchi 2 ta mutaxasisni necha xil usulda tanlanadi",/question-assets/admission-2026/math/g10-11/q06.png,7560,,0
Q26-MATH-G10-11-07,10-11,07,Teng yonli uchburchakning 2 ta tomoni uzunligi 8 va 3 cm bo’lsa uning perimetri necha cm bo’ladi?,/question-assets/admission-2026/math/g10-11/q07.png,19,,0
Q26-MATH-G10-11-08,10-11,08,Matematika savoli 8,/question-assets/admission-2026/math/g10-11/q08.png,2x,,0
Q26-MATH-G10-11-09,10-11,09,Matematika savoli 9,/question-assets/admission-2026/math/g10-11/q09.png,,,0
Q26-MATH-G10-11-10,10-11,10,Matematika savoli 10,/question-assets/admission-2026/math/g10-11/q10.png,,,0
Q26-MATH-G10-11-11,10-11,11,𝑎 ning qanday qiymatida 2𝑥(𝑥 + 𝑎) − 𝑎𝑥 = 𝑎 + 3𝑥 tenglamaning ildizlaridan biri 2 ga teng bo’ladi?,/question-assets/admission-2026/math/g10-11/q11.png,-2,,0
Q26-MATH-G10-11-12,10-11,12,Soatning minut mili 4 minutda necha gradusga buriladi?,/question-assets/admission-2026/math/g10-11/q12.png,24,,0
Q26-MATH-G10-11-13,10-11,13,Matematika savoli 13,/question-assets/admission-2026/math/g10-11/q13.png,,,0
Q26-MATH-G10-11-14,10-11,14,Matematika savoli 14,/question-assets/admission-2026/math/g10-11/q14.png,,,0
Q26-MATH-G10-11-15,10-11,15,Burchak koeffitsiyenti 2 ga teng bo’lgan va (1;3) nuqtadan o’tuvchi to’g’ri chiziq tenglamasini tuzing.,/question-assets/admission-2026/math/g10-11/q15.png,y=2x+1,,0
Q26-MATH-G10-11-16,10-11,16,Matematika savoli 16,/question-assets/admission-2026/math/g10-11/q16.png,999/1001,999:1001,0
Q26-MATH-G10-11-17,10-11,17,Matematika savoli 17,/question-assets/admission-2026/math/g10-11/q17.png,,,0
Q26-MATH-G10-11-18,10-11,18,"𝐴𝐵𝐶 uchburchakda ∠𝐴𝐵𝐶 = 48 va ∠𝐴𝐶𝐵 = 54 bo’lsa, uchburchakning 𝐴𝐷 balandligi va 𝐴𝐿 bissektrisasi orasidagi burchakni toping.",/question-assets/admission-2026/math/g10-11/q18.png,3,,0
Q26-MATH-G10-11-19,10-11,19,Matematika savoli 19,/question-assets/admission-2026/math/g10-11/q19.png,,,0
Q26-MATH-G10-11-20,10-11,20,Matematika savoli 20,/question-assets/admission-2026/math/g10-11/q20.png,,,0
Q26-MATH-G10-11-21,10-11,21,"To’rtburchakning 3 ta tomoni uzunligi 2, 5, 8 ga teng bo’lsa, uning to’rtinchi tomoni uzunligi qanday qiymatni qabul qila oladi?",/question-assets/admission-2026/math/g10-11/q21.png,1<d<15,,0
Q26-MATH-G10-11-22,10-11,22,Matematika savoli 22,/question-assets/admission-2026/math/g10-11/q22.png,,,0
Q26-MATH-G10-11-23,10-11,23,Matematika savoli 23,/question-assets/admission-2026/math/g10-11/q23.png,36,,0
Q26-MATH-G10-11-24,10-11,24,Matematika savoli 24,/question-assets/admission-2026/math/g10-11/q24.png,,,0
Q26-MATH-G10-11-25,10-11,25,Matematika savoli 25,/question-assets/admission-2026/math/g10-11/q25.png,2109,,0
Q26-MATH-G10-11-26,10-11,26,"Teng yonli uchburchakning yon tomoni 17 ga, asosi 30 ga teng. Uchburchakning asosiga tushurilgan balandlik uzunligini toping.",/question-assets/admission-2026/math/g10-11/q26.png,8,,0
Q26-MATH-G10-11-27,10-11,27,"Shahar markazida yangi va katta kutubxona qurildi. Eski kutubxonadan yangi kutubxonaga kitoblarni ko`chirish kerak. Farruhning brigadasi 8 kun va Ikromning brigadasi 12 kun ishlasa, yoki Farruhning brigadasi 10 kun va Ikromning brigadasi 5 kun ishlasa kitoblar tugaydi. Agar faqat Ikromning brigadasi ishlasa kitoblar necha kunda tugaydi?",/question-assets/admission-2026/math/g10-11/q27.png,40,,0
Q26-MATH-G10-11-28,10-11,28,Matematika savoli 28,/question-assets/admission-2026/math/g10-11/q28.png,88,,0
Q26-MATH-G10-11-29,10-11,29,"Yo‘lovchi mototsiklda yo‘lining 32% ini 16 𝑘𝑚/𝑠 tezlik bilan, 28% ini esa 20 𝑘𝑚/𝑠 tezlik bilan, qolgan qismini 25 𝑘𝑚/𝑠 tezlik bilan jami 8 soatda bosib o‘tdi. Yo‘lovchi necha km masofani bosib o‘tgan?",/question-assets/admission-2026/math/g10-11/q29.png,160,,0
Q26-MATH-G10-11-30,10-11,30,Matematika savoli 30,/question-assets/admission-2026/math/g10-11/q30.png,1.5,3/2||3:2,0
